
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Image,Time,ID,
Distance to Image Border XY,13.3091,um,Surface,,Image 1,1,221,
Distance to Image Border XY,19.3,um,Surface,,Image 1,1,222,
Distance to Image Border XY,3.09378,um,Surface,,Image 1,1,223,
Distance to Image Border XY,8.89033,um,Surface,,Image 1,1,224,
Distance to Image Border XY,13.0862,um,Surface,,Image 1,1,225,
Distance to Image Border XY,10.9529,um,Surface,,Image 1,1,226,
Distance to Image Border XY,4.53372,um,Surface,,Image 1,1,228,
Distance to Image Border XY,7.14118,um,Surface,,Image 1,1,229,
Distance to Image Border XY,9.91518,um,Surface,,Image 1,1,231,
Distance to Image Border XY,1.91961,um,Surface,,Image 1,1,233,
Distance to Image Border XY,4.34043,um,Surface,,Image 1,1,234,
Distance to Image Border XY,6.28657,um,Surface,,Image 1,1,235,
Distance to Image Border XY,11.6917,um,Surface,,Image 1,1,236,
Distance to Image Border XY,12.3429,um,Surface,,Image 1,1,238,
Distance to Image Border XY,10.6659,um,Surface,,Image 1,1,239,
Distance to Image Border XY,10.704,um,Surface,,Image 1,1,240,
Distance to Image Border XY,11.5185,um,Surface,,Image 1,1,241,
Distance to Image Border XY,9.90571,um,Surface,,Image 1,1,242,
Distance to Image Border XY,8.55455,um,Surface,,Image 1,1,245,
Distance to Image Border XY,11.8811,um,Surface,,Image 1,1,246,
Distance to Image Border XY,8.68889,um,Surface,,Image 1,1,248,
Distance to Image Border XY,14.47,um,Surface,,Image 1,1,251,
Distance to Image Border XY,12.1202,um,Surface,,Image 1,1,252,
Distance to Image Border XY,24.5839,um,Surface,,Image 1,1,253,
Distance to Image Border XY,23.2049,um,Surface,,Image 1,1,254,
Distance to Image Border XY,2.73732,um,Surface,,Image 1,1,256,
Distance to Image Border XY,23.5517,um,Surface,,Image 1,1,257,
Distance to Image Border XY,20.6605,um,Surface,,Image 1,1,258,
Distance to Image Border XY,21.8154,um,Surface,,Image 1,1,259,
Distance to Image Border XY,24.2924,um,Surface,,Image 1,1,260,
Distance to Image Border XY,13.087,um,Surface,,Image 1,1,261,
Ellipticity (oblate),0.405647,,Surface,,,1,131,
Ellipticity (oblate),0.271841,,Surface,,,1,135,
Ellipticity (oblate),0.289821,,Surface,,,1,136,
Ellipticity (oblate),0.248466,,Surface,,,1,137,
Ellipticity (oblate),0.280497,,Surface,,,1,138,
Ellipticity (oblate),0.226713,,Surface,,,1,139,
Ellipticity (oblate),0.233312,,Surface,,,1,143,
Ellipticity (oblate),0.418455,,Surface,,,1,145,
Ellipticity (oblate),0.261153,,Surface,,,1,146,
Ellipticity (oblate),0.346458,,Surface,,,1,147,
Ellipticity (oblate),0.632115,,Surface,,,1,148,
Ellipticity (oblate),0.234092,,Surface,,,1,149,
Ellipticity (oblate),0.627533,,Surface,,,1,150,
Ellipticity (oblate),0.303691,,Surface,,,1,152,
Ellipticity (oblate),0.283094,,Surface,,,1,153,
Ellipticity (oblate),0.370228,,Surface,,,1,154,
Ellipticity (oblate),0.263632,,Surface,,,1,155,
Ellipticity (oblate),0.543864,,Surface,,,1,156,
Ellipticity (oblate),0.44911,,Surface,,,1,158,
Ellipticity (oblate),0.321805,,Surface,,,1,159,
Ellipticity (oblate),0.37764,,Surface,,,1,161,
Ellipticity (oblate),0.244628,,Surface,,,1,162,
Ellipticity (oblate),0.237261,,Surface,,,1,163,
Ellipticity (oblate),0.346385,,Surface,,,1,164,
Ellipticity (oblate),0.262116,,Surface,,,1,166,
Ellipticity (oblate),0.51298,,Surface,,,1,167,
Ellipticity (oblate),0.294343,,Surface,,,1,169,
Ellipticity (oblate),0.37504,,Surface,,,1,171,
Ellipticity (oblate),0.373136,,Surface,,,1,173,
Ellipticity (oblate),0.168309,,Surface,,,1,174,
Ellipticity (oblate),0.279914,,Surface,,,1,176,
Ellipticity (oblate),0.288899,,Surface,,,1,177,
Ellipticity (oblate),0.317974,,Surface,,,1,178,
Ellipticity (oblate),0.387167,,Surface,,,1,179,
Ellipticity (oblate),0.271515,,Surface,,,1,180,
Ellipticity (oblate),0.366846,,Surface,,,1,181,
Ellipticity (oblate),0.298676,,Surface,,,1,182,
Ellipticity (oblate),0.36792,,Surface,,,1,183,
Ellipticity (oblate),0.335126,,Surface,,,1,184,
Ellipticity (oblate),0.340339,,Surface,,,1,185,
Ellipticity (oblate),0.315899,,Surface,,,1,186,
Ellipticity (oblate),0.350445,,Surface,,,1,188,
Ellipticity (oblate),0.235712,,Surface,,,1,189,
Ellipticity (oblate),0.272409,,Surface,,,1,190,
Ellipticity (oblate),0.282116,,Surface,,,1,191,
Ellipticity (oblate),0.344314,,Surface,,,1,192,
Ellipticity (oblate),0.374076,,Surface,,,1,193,
Ellipticity (oblate),0.308793,,Surface,,,1,194,
Ellipticity (oblate),0.386091,,Surface,,,1,195,
Ellipticity (oblate),0.255037,,Surface,,,1,196,
Ellipticity (oblate),0.213054,,Surface,,,1,197,
Ellipticity (oblate),0.246438,,Surface,,,1,198,
Ellipticity (oblate),0.240833,,Surface,,,1,200,
Ellipticity (oblate),0.183737,,Surface,,,1,202,
Ellipticity (oblate),0.600459,,Surface,,,1,203,
Ellipticity (oblate),0.40054,,Surface,,,1,205,
Ellipticity (oblate),0.314703,,Surface,,,1,206,
Ellipticity (oblate),0.481604,,Surface,,,1,208,
Ellipticity (oblate),0.503052,,Surface,,,1,209,
Ellipticity (oblate),0.377464,,Surface,,,1,210,
Ellipticity (oblate),0.525629,,Surface,,,1,211,
Ellipticity (oblate),0.259445,,Surface,,,1,212,
Ellipticity (oblate),0.260751,,Surface,,,1,213,
Ellipticity (oblate),0.352557,,Surface,,,1,214,
Ellipticity (oblate),0.238765,,Surface,,,1,215,
Ellipticity (oblate),0.643843,,Surface,,,1,216,
Ellipticity (oblate),0.155568,,Surface,,,1,217,
Ellipticity (oblate),0.478444,,Surface,,,1,218,
Ellipticity (oblate),0.294117,,Surface,,,1,219,
Ellipticity (oblate),0.490337,,Surface,,,1,221,
Ellipticity (oblate),0.300908,,Surface,,,1,222,
Ellipticity (oblate),0.346217,,Surface,,,1,223,
Ellipticity (oblate),0.37353,,Surface,,,1,224,
Ellipticity (oblate),0.23315,,Surface,,,1,225,
Ellipticity (oblate),0.205197,,Surface,,,1,226,
Ellipticity (oblate),0.187504,,Surface,,,1,228,
Ellipticity (oblate),0.334299,,Surface,,,1,229,
Ellipticity (oblate),0.361983,,Surface,,,1,231,
Ellipticity (oblate),0.316717,,Surface,,,1,233,
Ellipticity (oblate),0.360473,,Surface,,,1,234,
Ellipticity (oblate),0.300588,,Surface,,,1,235,
Ellipticity (oblate),0.369487,,Surface,,,1,236,
Ellipticity (oblate),0.201814,,Surface,,,1,238,
Ellipticity (oblate),0.224415,,Surface,,,1,239,
Ellipticity (oblate),0.447201,,Surface,,,1,240,
Ellipticity (oblate),0.455241,,Surface,,,1,241,
Ellipticity (oblate),0.485568,,Surface,,,1,242,
Ellipticity (oblate),0.247405,,Surface,,,1,245,
Ellipticity (oblate),0.275239,,Surface,,,1,246,
Ellipticity (oblate),0.314664,,Surface,,,1,248,
Ellipticity (oblate),0.325604,,Surface,,,1,251,
Ellipticity (oblate),0.403857,,Surface,,,1,252,
Ellipticity (oblate),0.271107,,Surface,,,1,253,
Ellipticity (oblate),0.0899666,,Surface,,,1,254,
Ellipticity (oblate),0.356597,,Surface,,,1,256,
Ellipticity (oblate),0.166425,,Surface,,,1,257,
Ellipticity (oblate),0.297845,,Surface,,,1,258,
Ellipticity (oblate),0.334874,,Surface,,,1,259,
Ellipticity (oblate),0.346472,,Surface,,,1,260,
Ellipticity (oblate),0.257645,,Surface,,,1,261,
Ellipticity (prolate),0.447484,,Surface,,,1,131,
Ellipticity (prolate),0.686375,,Surface,,,1,135,
Ellipticity (prolate),0.370821,,Surface,,,1,136,
Ellipticity (prolate),0.4364,,Surface,,,1,137,
Ellipticity (prolate),0.538973,,Surface,,,1,138,
Ellipticity (prolate),0.49115,,Surface,,,1,139,
Ellipticity (prolate),0.311905,,Surface,,,1,143,
Ellipticity (prolate),0.414321,,Surface,,,1,145,
Ellipticity (prolate),0.606961,,Surface,,,1,146,
Ellipticity (prolate),0.554331,,Surface,,,1,147,
Ellipticity (prolate),0.241311,,Surface,,,1,148,
Ellipticity (prolate),0.662348,,Surface,,,1,149,
Ellipticity (prolate),0.202296,,Surface,,,1,150,
Ellipticity (prolate),0.281368,,Surface,,,1,152,
Ellipticity (prolate),0.603568,,Surface,,,1,153,
Ellipticity (prolate),0.480114,,Surface,,,1,154,
Ellipticity (prolate),0.30704,,Surface,,,1,155,
Ellipticity (prolate),0.28737,,Surface,,,1,156,
Ellipticity (prolate),0.412779,,Surface,,,1,158,
Ellipticity (prolate),0.566992,,Surface,,,1,159,
Ellipticity (prolate),0.330122,,Surface,,,1,161,
Ellipticity (prolate),0.741454,,Surface,,,1,162,
Ellipticity (prolate),0.554529,,Surface,,,1,163,
Ellipticity (prolate),0.421221,,Surface,,,1,164,
Ellipticity (prolate),0.708799,,Surface,,,1,166,
Ellipticity (prolate),0.279608,,Surface,,,1,167,
Ellipticity (prolate),0.407889,,Surface,,,1,169,
Ellipticity (prolate),0.461847,,Surface,,,1,171,
Ellipticity (prolate),0.462079,,Surface,,,1,173,
Ellipticity (prolate),0.164524,,Surface,,,1,174,
Ellipticity (prolate),0.585367,,Surface,,,1,176,
